frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr,label
994,"Jan 10, 2021 04:08:06.185736866 EET",d6:7e:a7:8e:35:cb,80:1f:02:e9:f4:68,118,1,d6:7e:a7:8e:35:cb,107,1,0,5,0x0000000005e61532,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1132,"Jan 10, 2021 04:08:17.076120057 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,337,1,0,8,0x00000000068c4180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
201,"Jul 30, 2023 13:13:15.162457000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,600,11,0,8,0x000000000232a712,0,Aya's Galaxy ,2,3,,,,,,,,,normal
2513,"Jan 10, 2021 04:09:44.647628233 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,1581,1,0,8,0x000000000bc48180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1868,"Jan 10, 2021 04:08:57.429424661 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2796,1,0,8,0x0000000008f40180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
546,"Jan 10, 2021 04:07:40.671107025 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2212,1,0,8,0x000000000460c180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
992,"Jan 10, 2021 04:08:06.181894953 EET",d6:7e:a7:8e:35:cb,80:1f:02:e9:f4:68,118,1,d6:7e:a7:8e:35:cb,107,1,0,5,0x0000000005e6060b,16,Aya's Galaxy ,1,2,,,,,,,,,attack
285,"Jan 10, 2021 04:07:26.035430559 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,351,0,d6:7e:a7:8e:35:cb,1443,1,0,8,0x00000001137d0180,100,Aya's Galaxy ,2,3,,,,,,,,,attack
2377,"Jan 10, 2021 04:09:33.768765617 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,917,1,0,8,0x000000000b1e8180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2633,"Jan 10, 2021 04:09:55.625007441 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2251,1,0,8,0x000000000c6c0180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
