frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr
95,"Jul 30, 2023 13:11:34.986779000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000000ea72bf,0,Aya's Galaxy ,1,1,,,,,,,,
96,"Jul 30, 2023 13:11:34.987781000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,195,48,0,8,0x0000000a5b560407,0,Orange-8605,1,1,,,,,,,,
97,"Jul 30, 2023 13:11:36.010441000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x00000000014f5fa0,0,Aya's Galaxy ,1,1,,,,,,,,
98,"Jul 30, 2023 13:11:36.010441000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,197,48,0,8,0x0000000a5b65a409,0,Orange-8605,1,1,,,,,,,,
99,"Jul 30, 2023 13:11:37.048438000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x00000000015efec4,0,Aya's Galaxy ,1,1,,,,,,,,
100,"Jul 30, 2023 13:11:37.048618000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,199,48,0,8,0x0000000a5b758af3,0,Orange-8605,1,1,,,,,,,,
101,"Jul 30, 2023 13:11:47.379597000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000001ef53b2,0,Aya's Galaxy ,1,1,,,,,,,,
102,"Jul 30, 2023 13:11:47.379597000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,201,48,0,8,0x0000000a5b84325d,0,Orange-8605,1,1,,,,,,,,
103,"Jul 30, 2023 13:11:48.054055000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x000000000206e4bb,0,Aya's Galaxy ,1,1,,,,,,,,
104,"Jul 30, 2023 13:11:48.055055000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,203,48,0,8,0x0000000a5c1d5fd5,0,Orange-8605,1,1,,,,,,,,
105,"Jul 30, 2023 13:11:49.074783000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x00000000021687ba,0,Aya's Galaxy ,1,1,,,,,,,,
106,"Jul 30, 2023 13:11:49.074783000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,205,48,0,8,0x0000000a5c2cffe3,0,Orange-8605,1,1,,,,,,,,
107,"Jul 30, 2023 13:11:50.097788000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x00000000022624a7,0,Aya's Galaxy ,1,1,,,,,,,,
108,"Jul 30, 2023 13:11:50.098791000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,207,48,0,8,0x0000000a5c3c9fc9,0,Orange-8605,1,1,,,,,,,,
109,"Jul 30, 2023 13:11:51.129484000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x000000000235c499,0,Aya's Galaxy ,1,1,,,,,,,,
110,"Jul 30, 2023 13:11:51.130483000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,209,48,0,8,0x0000000a5c4c3fc9,0,Orange-8605,1,1,,,,,,,,
111,"Jul 30, 2023 13:11:55.616163000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x00000000023f0327,0,Aya's Galaxy ,1,1,,,,,,,,
112,"Jul 30, 2023 13:11:55.616163000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,211,48,0,8,0x0000000a5c54e05a,0,Orange-8605,1,1,,,,,,,,
113,"Jul 30, 2023 13:11:56.224261000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000002836bb5,0,Aya's Galaxy ,1,1,,,,,,,,
114,"Jul 30, 2023 13:11:56.224261000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,213,48,0,8,0x0000000a5c9a20dd,0,Orange-8605,1,1,,,,,,,,
