frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr
55,"Jul 30, 2023 13:11:05.688453000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x0000000000fcc82f,0,Aya's Galaxy ,2,3,,,,,,,,
56,"Jul 30, 2023 13:11:05.689503000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,455,48,0,8,0x0000000a5974f03e,0,Orange-8605,2,3,,,,,,,,
57,"Jul 30, 2023 13:11:06.313271000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x00000000014ae8e2,0,Aya's Galaxy ,2,3,,,,,,,,
58,"Jul 30, 2023 13:11:06.314281000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,457,48,0,8,0x0000000a59a08472,0,Orange-8605,2,3,,,,,,,,
59,"Jul 30, 2023 13:11:07.366715000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x00000000015a88a3,0,Aya's Galaxy ,2,3,,,,,,,,
60,"Jul 30, 2023 13:11:07.367718000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,459,48,0,8,0x0000000a59b09485,0,Orange-8605,2,3,,,,,,,,
61,"Jul 30, 2023 13:11:08.415645000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x00000000016a9c1a,0,Aya's Galaxy ,2,3,,,,,,,,
62,"Jul 30, 2023 13:11:08.415645000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,461,48,0,8,0x0000000a59c073a4,0,Orange-8605,2,3,,,,,,,,
63,"Jul 30, 2023 13:11:09.416604000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x000000000179c8bf,0,Aya's Galaxy ,2,3,,,,,,,,
64,"Jul 30, 2023 13:11:09.417604000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,463,48,0,8,0x0000000a59cfd54b,0,Orange-8605,2,3,,,,,,,,
65,"Jul 30, 2023 13:11:13.882322000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x000000000182a4ad,0,Aya's Galaxy ,2,3,,,,,,,,
66,"Jul 30, 2023 13:11:13.883326000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,465,48,0,8,0x0000000a59de5195,0,Orange-8605,2,3,,,,,,,,
67,"Jul 30, 2023 13:11:14.507077000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x0000000000073e8f,0,Aya's Galaxy ,2,3,,,,,,,,
68,"Jul 30, 2023 13:11:14.508078000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,467,48,0,8,0x0000000a5a1d8465,0,Orange-8605,2,3,,,,,,,,
69,"Jul 30, 2023 13:11:15.528470000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x000000000016dec3,0,Aya's Galaxy ,2,3,,,,,,,,
70,"Jul 30, 2023 13:11:15.528470000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,469,48,0,8,0x0000000a5a2d23ba,0,Orange-8605,2,3,,,,,,,,
71,"Jul 30, 2023 13:11:16.583538000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x0000000000271337,0,Aya's Galaxy ,2,3,,,,,,,,
72,"Jul 30, 2023 13:11:16.583538000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,471,48,0,8,0x0000000a5a3d376a,0,Orange-8605,2,3,,,,,,,,
73,"Jul 30, 2023 13:11:17.631672000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x000000000036b32b,0,Aya's Galaxy ,2,3,,,,,,,,
74,"Jul 30, 2023 13:11:17.632393000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,473,48,0,8,0x0000000a5a4d13b2,0,Orange-8605,2,3,,,,,,,,
75,"Jul 30, 2023 13:11:22.072983000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x000000000041a32b,0,Aya's Galaxy ,2,3,,,,,,,,
76,"Jul 30, 2023 13:11:22.072983000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,475,48,0,8,0x0000000a5a65901d,0,Orange-8605,2,3,,,,,,,,
77,"Jul 30, 2023 13:11:22.702756000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x0000000000843f69,0,Aya's Galaxy ,2,3,,,,,,,,
78,"Jul 30, 2023 13:11:22.702911000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,477,48,0,8,0x0000000a5a9a83de,0,Orange-8605,2,3,,,,,,,,
79,"Jul 30, 2023 13:11:23.721540000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x000000000096c19b,0,Aya's Galaxy ,2,3,,,,,,,,
80,"Jul 30, 2023 13:11:23.721540000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,479,48,0,8,0x0000000a5aaa2410,0,Orange-8605,2,3,,,,,,,,
81,"Jul 30, 2023 13:11:24.747712000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x0000000000a37f78,0,Aya's Galaxy ,2,3,,,,,,,,
82,"Jul 30, 2023 13:11:24.749711000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,481,48,0,8,0x0000000a5ab9c3f9,0,Orange-8605,2,3,,,,,,,,
83,"Jul 30, 2023 13:11:25.801666000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x0000000000b3b320,0,Aya's Galaxy ,2,3,,,,,,,,
84,"Jul 30, 2023 13:11:25.801666000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,483,48,0,8,0x0000000a5ac9e381,0,Orange-8605,2,3,,,,,,,,
85,"Jul 30, 2023 13:11:26.839675000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x0000000000c35328,0,Aya's Galaxy ,2,3,,,,,,,,
86,"Jul 30, 2023 13:11:26.839675000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,485,48,0,8,0x0000000a5ad9b358,0,Orange-8605,2,3,,,,,,,,
87,"Jul 30, 2023 13:11:27.846142000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,435,11,0,8,0x0000000000d2f32d,0,Aya's Galaxy ,2,3,,,,,,,,
88,"Jul 30, 2023 13:11:27.847143000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,487,48,0,8,0x0000000a5ae9175f,0,Orange-8605,2,3,,,,,,,,
89,"Jul 30, 2023 13:11:28.711351000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,488,11,0,8,0x0000000000df732b,0,Aya's Galaxy ,2,3,,,,,,,,
90,"Jul 30, 2023 13:11:28.711351000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,489,48,0,8,0x0000000a5af64840,0,Orange-8605,2,3,,,,,,,,
91,"Jul 30, 2023 13:11:33.339174000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,490,11,0,8,0x0000000000ea72bf,0,Aya's Galaxy ,2,3,,,,,,,,
92,"Jul 30, 2023 13:11:33.340177000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,491,48,0,8,0x0000000a5b243058,0,Orange-8605,2,3,,,,,,,,
93,"Jul 30, 2023 13:11:34.109286000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,492,11,0,8,0x0000000000ea72bf,0,Aya's Galaxy ,2,3,,,,,,,,
94,"Jul 30, 2023 13:11:34.110284000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,493,48,0,8,0x0000000a5b4896cd,0,Orange-8605,2,3,,,,,,,,
95,"Jul 30, 2023 13:11:34.986779000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,492,11,0,8,0x0000000000ea72bf,0,Aya's Galaxy ,2,3,,,,,,,,
96,"Jul 30, 2023 13:11:34.987781000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,495,48,0,8,0x0000000a5b560407,0,Orange-8605,2,3,,,,,,,,
